rel_key,priority,priority_label,doc_depth,kind,rel_path,abs_path,output_md,parent_summary_only,status,reason
directory:src,0,A,overview,directory,src,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src,directories/src.md,0,pending,selected: useful directory for architecture map
directory:src/services/api,1,A,standard,directory,src/services/api,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/services/api,directories/src__services__api.md,0,pending,selected: core module boundary
file:README.md,2,A,deep,file,README.md,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/README.md,files/README.md.md,0,pending,selected: repository README entry
directory:src/entrypoints,3,A,overview,directory,src/entrypoints,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/entrypoints,directories/src__entrypoints.md,0,pending,selected: useful directory for architecture map
directory:packages/remote-control-server,4,A,overview,directory,packages/remote-control-server,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/packages/remote-control-server,directories/packages__remote-control-server.md,0,pending,selected: contains build/manifest entry
directory:src/services/mcp,5,A,standard,directory,src/services/mcp,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/services/mcp,directories/src__services__mcp.md,0,pending,selected: core module boundary
directory:src/services/tools,6,A,standard,directory,src/services/tools,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/services/tools,directories/src__services__tools.md,0,pending,selected: core module boundary
directory:src/services,7,A,overview,directory,src/services,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/services,directories/src__services.md,0,pending,selected: core module boundary
file:vite.config.ts,8,A,deep,file,vite.config.ts,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/vite.config.ts,files/vite.config.ts.md,0,pending,selected: service/runtime/config boundary
directory:src/state,9,A,overview,directory,src/state,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/state,directories/src__state.md,0,pending,selected: useful directory for architecture map
directory:src/commands,10,A,overview,directory,src/commands,/data/project/AIWIKI/data/repos/github.com-claude-code-best-claude-code-6b7bb280/source/src/commands,directories/src__commands.md,0,pending,selected: useful directory for architecture map
